노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
0270,순천완주선,54.2000,35.373511778,127.328332712,229836.106810,308583.267065
0270,순천완주선,54.3000,35.374294627,127.327787363,229786.262225,308669.958457
0270,순천완주선,54.4000,35.375077475,127.327242003,229736.417640,308756.649850
0270,순천완주선,54.5000,35.375860320,127.326696633,229686.573056,308843.341243
0270,순천완주선,54.6000,35.376639263,127.326143029,229635.982655,308929.597647
0270,순천완주선,54.7000,35.377409004,127.325570552,229583.681655,309014.827643
0270,순천완주선,54.8000,35.378169212,127.324979383,229529.686628,309098.994644
0270,순천완주선,54.9000,35.378919581,127.324369759,229474.019172,309182.064983
0270,순천완주선,55.0000,35.379659812,127.323741922,229416.701554,309264.005433
0270,순천완주선,55.1000,35.380389609,127.323096123,229357.756698,309344.783220
0270,순천완주선,55.2000,35.381108679,127.322432621,229297.208183,309424.366033
0270,순천완주선,55.3000,35.381816734,127.321751681,229235.080227,309502.722041
0270,순천완주선,55.4000,35.382513491,127.321053575,229171.397681,309579.819902
0270,순천완주선,55.5000,35.383198670,127.320338581,229106.186008,309655.628786
0270,순천완주선,55.6000,35.383871998,127.319606987,229039.471308,309730.118353
0270,순천완주선,55.7000,35.384537460,127.318864705,228971.789451,309803.732489
0270,순천완주선,55.8000,35.385202749,127.318122187,228904.087279,309877.327979
0270,순천완주선,55.9000,35.385868034,127.317379656,228836.385107,309950.923468
0270,순천완주선,56.0000,35.386533314,127.316637114,228768.682935,310024.518957
0270,순천완주선,56.1000,35.387207153,127.315906279,228702.042637,310099.068004
0270,순천완주선,56.2000,35.387906920,127.315212752,228638.783809,310176.504941
0270,순천완주선,56.3000,35.388631767,127.314558758,228579.108988,310256.736305
0270,순천완주선,56.4000,35.389380197,127.313945647,228523.141411,310339.596359
0270,순천완주선,56.5000,35.390150664,127.313374689,228470.996713,310424.913934
0270,순천완주선,56.6000,35.390941578,127.312847061,228422.782609,310512.512783
0270,순천완주선,56.7000,35.391751305,127.312363857,228378.598701,310602.211948
0270,순천완주선,56.8000,35.392578174,127.311926074,228338.536260,310693.826133
0270,순천완주선,56.9000,35.393420476,127.311534619,228302.678047,310787.166084
0270,순천완주선,57.0000,35.394276472,127.311190301,228271.098135,310882.038983
0270,순천완주선,57.1000,35.395142519,127.310885484,228243.103995,310978.038334
0270,순천완주선,57.2000,35.396009534,127.310584733,228215.479476,311074.146426
